                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.1473,                 3.3122,                0.64733,                0.91498,                0.77023,                 0.3986,                0.51077,                0.31089,                0.24927,                0.13341,                0.06904,                 0.0274,                 1.2388,                 3.5452,                0.70497,                0.93802,               0.004852,               0.004852,               0.004852
                     54,                 1.1454,                 3.2671,                0.64332,                0.91134,                0.73358,                0.41473,                0.51953,                0.31396,                0.33556,                0.16837,                0.10609,                0.04069,                 1.2423,                 3.6539,                0.72017,                0.94336,               0.004753,               0.004753,               0.004753
                     55,                 1.1401,                 3.2669,                0.63528,                0.90912,                0.72742,                 0.4142,                0.52285,                0.31208,                0.28044,                  0.156,                0.08385,                0.03299,                  1.256,                 3.6136,                0.71204,                0.93652,               0.004654,               0.004654,               0.004654
                     56,                 1.1356,                 3.2937,                0.63269,                0.90933,                 0.8071,                0.40452,                0.52803,                0.32418,                0.27636,                0.15277,                0.08402,                0.03333,                 1.1995,                  3.567,                0.68438,                0.93473,               0.004555,               0.004555,               0.004555
                     57,                 1.1217,                 3.2811,                 0.6274,                 0.9018,                 0.7279,                0.39284,                0.49459,                0.30754,                0.27289,                0.15492,                0.08767,                0.03506,                 1.2322,                 3.7301,                0.76311,                0.93553,               0.004456,               0.004456,               0.004456
                     58,                 1.0982,                 3.2173,                0.61417,                0.89911,                0.73354,                0.40452,                0.52113,                0.31321,                0.26681,                0.13878,                0.08032,                0.03217,                  1.278,                 3.7154,                 0.7438,                0.94728,               0.004357,               0.004357,               0.004357
                     59,                 1.1157,                  3.209,                0.61821,                0.90602,                0.72526,                0.40471,                0.52351,                0.32229,                0.27812,                0.15869,                0.09751,                0.03943,                 1.2161,                 3.7572,                0.75006,                0.92983,               0.004258,               0.004258,               0.004258
                     60,                 1.1102,                 3.2228,                0.61539,                0.89923,                0.78288,                 0.4142,                0.52417,                0.31944,                0.28828,                0.15923,                0.09393,                0.03778,                 1.2052,                 3.7406,                0.67792,                0.92801,               0.004159,               0.004159,               0.004159
                     61,                 1.1071,                 3.2212,                0.61145,                0.90199,                0.72416,                0.40452,                0.51655,                0.31897,                0.27242,                0.15116,                0.09554,                0.03727,                 1.2471,                 3.7996,                0.79099,                0.93693,                0.00406,                0.00406,                0.00406
                     62,                 1.1015,                 3.1944,                 0.6083,                0.90307,                0.81217,                0.40452,                0.51835,                0.32107,                0.25134,                0.12856,                0.06885,                 0.0291,                 1.2044,                 3.6357,                0.67114,                0.92714,               0.003961,               0.003961,               0.003961
