                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.5396,                 2.0322,                 1.1694,                0.96378,                0.68155,                0.60643,                0.64955,                0.33725,                0.63504,                0.51162,                0.52003,                0.21166,                 1.4469,                 2.2668,                 1.0189,                0.92789,             3.6006e-05,             3.6006e-05,             3.6006e-05
                     66,                  1.535,                 2.0361,                 1.1421,                0.95809,                0.70748,                0.60337,                0.65121,                0.33765,                0.63958,                0.52527,                0.52198,                0.20817,                 1.4405,                  2.258,                 1.0149,                0.92713,             3.5006e-05,             3.5006e-05,             3.5006e-05
                     67,                 1.5377,                 2.0272,                 1.1603,                0.95759,                0.70857,                0.59418,                0.64943,                 0.3362,                0.64365,                0.51448,                0.51659,                0.21126,                  1.451,                 2.2734,                 1.0154,                 0.9296,             3.4007e-05,             3.4007e-05,             3.4007e-05
                     68,                  1.567,                 2.0282,                 1.1686,                0.95042,                0.70721,                0.59265,                0.64306,                0.33721,                0.64975,                0.50536,                 0.5119,                0.20929,                 1.4415,                  2.282,                 1.0137,                 0.9279,             3.3007e-05,             3.3007e-05,             3.3007e-05
                     69,                 1.5468,                 2.0055,                 1.1612,                0.95646,                 0.6862,                0.60643,                0.64287,                0.33499,                0.63767,                0.51914,                0.51479,                0.20916,                 1.4554,                 2.2699,                 1.0153,                0.92989,             3.2007e-05,             3.2007e-05,             3.2007e-05
                     70,                 1.5291,                 2.0295,                  1.142,                0.95019,                0.69638,                0.60765,                0.64432,                0.33833,                0.61067,                0.54824,                0.51868,                0.21016,                 1.4365,                 2.2508,                 1.0109,                0.92872,             3.1007e-05,             3.1007e-05,             3.1007e-05
                     71,                 1.5488,                  2.043,                 1.1487,                0.96089,                0.71204,                0.59418,                0.64776,                 0.3376,                0.64955,                0.51455,                0.51838,                0.20913,                  1.441,                  2.254,                  1.011,                0.92812,             3.0007e-05,             3.0007e-05,             3.0007e-05
                     72,                 1.5514,                 2.0219,                 1.1461,                0.95287,                0.70114,                0.59571,                0.64918,                0.33686,                0.64162,                0.51761,                 0.5187,                0.20723,                 1.4515,                 2.2593,                  1.011,                0.92879,             2.9007e-05,             2.9007e-05,             2.9007e-05
                     73,                 1.5365,                 2.0247,                 1.1373,                0.95613,                0.70493,                0.60337,                 0.6471,                0.33519,                0.61018,                 0.5513,                0.51731,                0.20772,                  1.456,                 2.2623,                 1.0083,                0.92841,             2.8007e-05,             2.8007e-05,             2.8007e-05
                     74,                 1.5301,                 2.0103,                 1.1237,                0.95682,                0.70481,                0.58959,                0.64053,                0.33772,                0.64823,                0.50689,                 0.5154,                0.21012,                 1.4475,                 2.2513,                 1.0108,                0.92772,             2.7007e-05,             2.7007e-05,             2.7007e-05
                     75,                 1.5174,                 2.0213,                 1.1122,                0.95198,                0.71857,                0.57887,                0.64532,                0.33963,                0.64256,                0.50383,                0.51384,                0.20967,                 1.4561,                 2.2572,                 1.0067,                0.92902,             2.6007e-05,             2.6007e-05,             2.6007e-05
                     76,                 1.5227,                 2.0188,                 1.1158,                0.94947,                0.70836,                 0.5914,                0.64645,                0.33987,                0.65197,                0.51149,                0.51582,                0.20923,                 1.4524,                 2.2589,                 1.0089,                0.92892,             2.5008e-05,             2.5008e-05,             2.5008e-05
                     77,                 1.5211,                 2.0427,                 1.1234,                0.95237,                0.69542,                0.60184,                0.65439,                0.34105,                 0.6719,                0.51745,                0.52919,                0.21416,                 1.4419,                 2.2577,                0.99926,                  0.926,             2.4008e-05,             2.4008e-05,             2.4008e-05
                     78,                 1.5375,                 2.0232,                 1.1278,                0.95632,                  0.718,                0.58875,                0.65084,                0.34245,                  0.663,                0.51302,                0.51937,                 0.2119,                 1.4444,                 2.2592,                 1.0003,                0.92597,             2.3008e-05,             2.3008e-05,             2.3008e-05
