                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                 1.2455,                 1.8018,                0.97714,                0.65645,                0.49365,                0.47014,                0.42483,                0.21597,                0.44001,                0.41654,                0.35369,                0.13826,                 1.7698,                 2.3232,                 1.9174,                0.95808,             5.8004e-05,             5.8004e-05,             5.8004e-05
                     44,                 1.2341,                  1.797,                0.96358,                0.65263,                0.48867,                0.48881,                0.42612,                0.21714,                0.43569,                 0.4422,                0.35442,                0.13911,                 1.7619,                 2.3107,                 1.8805,                0.95582,             5.7004e-05,             5.7004e-05,             5.7004e-05
                     45,                 1.2449,                 1.8361,                0.96396,                0.65198,                 0.5229,                0.50077,                 0.4504,                0.22964,                0.46903,                0.45176,                0.37756,                0.14553,                 1.7608,                 2.3174,                  1.905,                 0.9566,             5.6004e-05,             5.6004e-05,             5.6004e-05
                     46,                 1.2384,                 1.7655,                0.95703,                 0.6543,                0.52015,                0.47167,                0.43835,                0.21916,                 0.4757,                0.41807,                0.35999,                0.13965,                  1.778,                 2.3212,                 1.9163,                 0.9572,             5.5005e-05,             5.5005e-05,             5.5005e-05
                     47,                 1.2453,                 1.7765,                0.95934,                0.66062,                0.50739,                0.45482,                0.43605,                0.22144,                0.46646,                0.40123,                0.35793,                0.14132,                 1.7807,                 2.2936,                 1.9443,                0.96249,             5.4005e-05,             5.4005e-05,             5.4005e-05
                     48,                 1.2524,                 1.7902,                0.96145,                0.65637,                0.47792,                0.46861,                0.41053,                0.20654,                0.41748,                0.42473,                0.34046,                0.13115,                 1.7886,                 2.3169,                 2.0881,                0.96114,             5.3005e-05,             5.3005e-05,             5.3005e-05
                     49,                 1.2413,                 1.7922,                 0.9532,                0.65802,                0.47221,                 0.4977,                0.42111,                 0.2154,                0.41303,                0.44073,                  0.347,                 0.1349,                 1.7599,                 2.3074,                 1.9988,                0.95515,             5.2005e-05,             5.2005e-05,             5.2005e-05
                     50,                 1.2191,                 1.7668,                0.93075,                 0.6487,                0.49582,                0.47439,                0.42986,                0.21899,                0.43026,                0.43338,                0.35438,                0.13819,                 1.7671,                 2.3253,                 2.0206,                 0.9546,             5.1005e-05,             5.1005e-05,             5.1005e-05
                     51,                 1.2479,                 1.8124,                0.94945,                0.65272,                0.48057,                 0.4732,                0.41945,                0.21348,                0.43235,                0.42573,                0.34848,                0.13421,                 1.7707,                 2.3082,                 2.0448,                0.95379,             5.0005e-05,             5.0005e-05,             5.0005e-05
                     52,                 1.2591,                 1.7878,                0.93762,                0.66358,                0.47456,                0.47473,                0.42078,                0.21679,                0.41945,                 0.4196,                0.34111,                0.13337,                 1.7735,                 2.3073,                 2.0153,                0.95344,             4.9005e-05,             4.9005e-05,             4.9005e-05
                     53,                 1.2415,                 1.7594,                0.92081,                0.65624,                0.47898,                0.49158,                0.42212,                0.21784,                0.42944,                0.43492,                0.34687,                0.13759,                 1.7825,                 2.3382,                 1.9972,                0.95481,             4.8005e-05,             4.8005e-05,             4.8005e-05
                     54,                 1.2384,                 1.7136,                0.92369,                0.65382,                0.49685,                0.47786,                0.43495,                0.21849,                0.43815,                0.42573,                0.35592,                0.14028,                 1.7786,                 2.3271,                 1.9802,                 0.9526,             4.7005e-05,             4.7005e-05,             4.7005e-05
                     55,                  1.228,                 1.7493,                0.91346,                0.64759,                0.49602,                0.50191,                0.44176,                0.22574,                0.43221,                 0.4441,                0.35722,                0.14455,                 1.7611,                 2.3178,                  1.948,                0.95481,             4.6005e-05,             4.6005e-05,             4.6005e-05
                     56,                 1.2351,                 1.7242,                   0.92,                0.65028,                0.50295,                0.49005,                 0.4461,                0.22568,                0.43647,                 0.4441,                0.36423,                0.14448,                 1.7482,                 2.3322,                 1.9865,                0.95179,             4.5005e-05,             4.5005e-05,             4.5005e-05
                     57,                 1.2411,                 1.7679,                0.92801,                0.65687,                0.50802,                 0.4977,                0.44424,                 0.2281,                0.44486,                0.44257,                0.36318,                0.14224,                 1.7564,                 2.3241,                 1.9537,                0.95301,             4.4006e-05,             4.4006e-05,             4.4006e-05
                     58,                 1.2342,                 1.7425,                 0.9066,                0.65198,                0.48199,                0.48392,                0.43513,                0.22022,                0.42708,                0.42879,                0.35145,                0.13906,                 1.7787,                  2.308,                 1.9803,                0.95719,             4.3006e-05,             4.3006e-05,             4.3006e-05
                     59,                 1.2221,                 1.7574,                0.90351,                0.65213,                0.49012,                0.47779,                0.42972,                  0.221,                0.43173,                0.43185,                0.35004,                0.13847,                 1.7797,                 2.3334,                 2.0512,                0.95693,             4.2006e-05,             4.2006e-05,             4.2006e-05
                     60,                   1.22,                 1.7506,                0.89982,                0.64671,                 0.4808,                0.48392,                0.42339,                0.21644,                 0.4225,                0.43492,                0.34452,                0.13669,                 1.7815,                 2.3247,                  2.049,                0.95353,             4.1006e-05,             4.1006e-05,             4.1006e-05
                     61,                 1.2318,                 1.7351,                0.90824,                0.65271,                0.49604,                0.47626,                 0.4346,                0.22373,                 0.4423,                 0.4196,                0.34992,                0.14057,                 1.7705,                 2.3285,                 2.0152,                0.95293,             4.0006e-05,             4.0006e-05,             4.0006e-05
                     62,                 1.2332,                 1.7901,                0.89189,                0.64985,                0.49265,                0.49005,                0.43851,                0.22492,                0.45406,                0.42573,                0.35463,                0.14026,                 1.7739,                 2.3123,                 1.9998,                0.95524,             3.9006e-05,             3.9006e-05,             3.9006e-05
                     63,                 1.2407,                 1.7499,                0.91127,                0.65995,                0.50767,                0.49158,                0.44855,                0.22706,                0.45474,                0.41807,                0.36409,                0.14405,                 1.7719,                 2.3174,                  1.986,                0.95603,             3.8006e-05,             3.8006e-05,             3.8006e-05
                     64,                 1.2341,                 1.7377,                0.90343,                 0.6585,                  0.525,                0.48409,                0.45002,                0.23074,                0.47239,                0.42726,                0.36643,                0.14485,                 1.7729,                 2.3205,                 1.9312,                0.95513,             3.7006e-05,             3.7006e-05,             3.7006e-05
                     65,                 1.2265,                 1.7222,                 0.8843,                0.65172,                0.50523,                 0.4977,                0.44683,                0.22708,                0.45182,                0.45023,                0.36987,                0.14522,                 1.7703,                 2.2995,                 2.0034,                0.95375,             3.6006e-05,             3.6006e-05,             3.6006e-05
                     66,                 1.2128,                 1.7442,                0.87555,                 0.6487,                0.51081,                0.48086,                0.44356,                0.22571,                0.45436,                0.44257,                0.36294,                0.14348,                 1.7813,                 2.3371,                  2.021,                0.95552,             3.5006e-05,             3.5006e-05,             3.5006e-05
                     67,                 1.2234,                 1.7399,                0.89659,                0.65027,                0.50225,                 0.5023,                0.45129,                0.23137,                0.44299,                0.45636,                0.36572,                0.14497,                   1.77,                 2.3277,                 1.9934,                0.95502,             3.4007e-05,             3.4007e-05,             3.4007e-05
                     68,                 1.2194,                 1.7219,                0.88464,                0.64587,                0.48442,                0.47933,                0.43627,                0.22015,                0.42611,                0.43032,                0.35041,                0.13689,                 1.7803,                 2.3208,                 2.0261,                0.95381,             3.3007e-05,             3.3007e-05,             3.3007e-05
                     69,                 1.2103,                 1.7272,                0.87242,                0.64741,                0.52232,                0.45379,                0.44877,                0.23138,                0.51646,                0.37213,                0.36398,                0.14341,                 1.7623,                 2.3171,                  1.989,                0.95613,             3.2007e-05,             3.2007e-05,             3.2007e-05
                     70,                  1.222,                 1.7515,                0.87322,                 0.6477,                0.49041,                0.48851,                0.44259,                 0.2276,                0.43352,                0.43185,                0.35556,                0.14044,                 1.7605,                 2.3173,                 2.0381,                0.95291,             3.1007e-05,             3.1007e-05,             3.1007e-05
                     71,                 1.2291,                 1.7431,                0.86308,                0.65055,                0.48682,                0.48545,                0.43814,                0.22398,                0.42738,                0.42726,                0.35018,                0.13765,                 1.7732,                 2.3131,                 2.0464,                0.95452,             3.0007e-05,             3.0007e-05,             3.0007e-05
                     72,                 1.2264,                 1.7613,                0.88594,                0.65129,                0.48842,                0.47473,                0.43354,                0.22159,                0.41497,                 0.4196,                0.34751,                 0.1372,                 1.7732,                 2.3024,                 2.0574,                0.95496,             2.9007e-05,             2.9007e-05,             2.9007e-05
                     73,                 1.2109,                 1.7002,                0.86285,                0.64541,                0.49607,                0.48391,                0.43589,                0.22608,                0.44224,                0.42134,                  0.352,                0.13713,                 1.7655,                 2.3005,                 2.0506,                0.95223,             2.8007e-05,             2.8007e-05,             2.8007e-05
                     74,                 1.2098,                  1.748,                0.85807,                0.64708,                0.48135,                0.48545,                0.43587,                0.22565,                0.42189,                0.44032,                0.34677,                0.13789,                 1.7559,                 2.3021,                 2.0727,                0.94956,             2.7007e-05,             2.7007e-05,             2.7007e-05
                     75,                 1.2204,                 1.7374,                0.85438,                0.64945,                0.49111,                0.49005,                0.44479,                0.22952,                0.43208,                0.43185,                0.35616,                 0.1395,                 1.7538,                 2.3028,                 2.0276,                0.95138,             2.6007e-05,             2.6007e-05,             2.6007e-05
