                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.5419,                  1.863,                 1.2071,                 1.0062,                0.67804,                0.61256,                0.64486,                0.34358,                0.61734,                0.54824,                 0.5263,                0.20479,                 1.4099,                 2.2507,                 1.0135,                0.93532,             5.0005e-05,             5.0005e-05,             5.0005e-05
                     52,                 1.5429,                 1.8372,                 1.2102,                0.99082,                0.69345,                0.61256,                0.65167,                0.34982,                0.62495,                0.55283,                0.52502,                0.20575,                  1.409,                 2.2232,                 1.0132,                0.93285,             4.9005e-05,             4.9005e-05,             4.9005e-05
                     53,                 1.5368,                 1.7717,                 1.2022,                 1.0012,                0.64805,                0.62035,                0.64159,                0.34676,                0.63077,                0.52221,                0.50783,                0.20537,                 1.4004,                 2.2452,                 1.0059,                0.93257,             4.8005e-05,             4.8005e-05,             4.8005e-05
                     54,                 1.5338,                 1.8008,                 1.1744,                0.99267,                0.65893,                0.64625,                0.64537,                0.34465,                0.58781,                0.57218,                0.51953,                0.20447,                  1.405,                 2.2347,                 1.0039,                0.93502,             4.7005e-05,             4.7005e-05,             4.7005e-05
                     55,                 1.5029,                 1.8065,                 1.1816,                0.97971,                0.67823,                  0.623,                0.65243,                0.34681,                0.60956,                0.55283,                 0.5173,                0.20351,                  1.414,                 2.2518,                0.99707,                0.93684,             4.6005e-05,             4.6005e-05,             4.6005e-05
                     56,                 1.5088,                 1.8029,                 1.1568,                0.98798,                0.67352,                0.62787,                0.64204,                0.33905,                0.63168,                0.55896,                0.53616,                0.20648,                 1.4287,                 2.2699,                0.99027,                0.93783,             4.5005e-05,             4.5005e-05,             4.5005e-05
                     57,                 1.5246,                 1.8014,                  1.184,                0.99344,                0.66142,                0.63706,                0.64756,                0.34558,                 0.5972,                0.56049,                 0.5234,                0.20653,                 1.4153,                 2.2372,                0.99136,                0.93593,             4.4006e-05,             4.4006e-05,             4.4006e-05
                     58,                 1.5085,                 1.8135,                 1.1433,                0.99217,                0.67645,                0.64012,                0.65756,                 0.3525,                0.62483,                0.55743,                0.52691,                0.20934,                 1.3999,                 2.2391,                 0.9821,                0.93257,             4.3006e-05,             4.3006e-05,             4.3006e-05
                     59,                 1.5177,                 1.7907,                 1.1599,                 1.0002,                0.66139,                0.64165,                0.65075,                0.34958,                 0.6054,                0.56508,                0.53021,                0.20807,                 1.4022,                 2.2419,                0.99025,                0.93413,             4.2006e-05,             4.2006e-05,             4.2006e-05
                     60,                 1.5291,                  1.829,                 1.1607,                0.98517,                0.67511,                0.62021,                0.64532,                0.34866,                0.62268,                0.56968,                0.53086,                0.20934,                 1.3924,                 2.2694,                0.99227,                0.93478,             4.1006e-05,             4.1006e-05,             4.1006e-05
                     61,                 1.4937,                 1.7346,                  1.159,                0.98337,                0.65135,                0.61796,                0.63692,                0.33993,                0.61895,                0.55896,                0.52547,                0.20717,                 1.4186,                 2.2447,                0.98873,                 0.9368,             4.0006e-05,             4.0006e-05,             4.0006e-05
                     62,                 1.5088,                 1.8102,                 1.1422,                0.97439,                0.65473,                0.64012,                0.65459,                0.35274,                0.63005,                0.56355,                 0.5336,                0.21365,                 1.3939,                 2.2311,                0.97849,                0.93074,             3.9006e-05,             3.9006e-05,             3.9006e-05
                     63,                 1.5104,                  1.764,                  1.141,                0.98905,                0.68547,                0.61409,                0.64581,                0.34841,                 0.6316,                0.56185,                 0.5302,                0.20696,                 1.4058,                 2.2476,                0.98524,                0.93233,             3.8006e-05,             3.8006e-05,             3.8006e-05
                     64,                 1.4871,                 1.7928,                 1.1309,                0.97633,                0.65788,                0.65375,                0.65699,                 0.3517,                0.59913,                0.58134,                0.52393,                0.20655,                 1.3987,                  2.247,                0.97637,                0.93298,             3.7006e-05,             3.7006e-05,             3.7006e-05
